DATE,TV,Google Ads,Social Media,Radio,Print,Seasonality,Trend,Macroeconomic,Sales
2020-03-07,97839.7,100192.67,197292.79,150097.68,151838.92,0.91,1.33,1.05,701723.58
2020-03-08,130105.99,86908.42,169237.49,136718.46,85919.61,0.92,1.34,1.05,827017.09
2020-03-09,110849.08,96711.71,94556.53,94071.39,61424.08,0.93,1.34,1.05,817383.41
2020-03-10,80646.41,97349.11,96809.89,89042.77,84835.31,0.93,1.34,1.05,753546.23
2020-03-11,110841.87,88899.67,129867.45,49864.91,106265.61,0.94,1.35,1.05,731357.82
2020-03-12,146141.1,92236.12,151095.18,161076.21,101746.38,0.95,1.36,1.05,888558.4
2020-03-13,98925.22,147959.42,50859.13,114069.34,88196.86,0.95,1.36,1.05,886202.09
2020-03-14,146939.31,116827.58,46408.74,85241.29,42724.08,0.96,1.36,1.05,694896.07
2020-03-15,21407.65,91135.59,81338.96,139841.71,114114.49,0.96,1.37,1.05,800093.57
2020-03-16,124657.08,120908.63,117482.13,70817.06,159170.33,0.97,1.38,1.05,909913.16
2020-03-17,102611.41,89985.42,114906.21,112198.66,113927.54,0.97,1.38,1.05,806561.04
2020-03-18,91029.78,135193.74,132093.14,94821.13,118274.07,0.97,1.38,1.05,809455.58
2020-03-19,102752.82,111089.27,64009.07,119160.31,117173.36,0.98,1.39,1.05,823430.71
2020-03-20,40372.93,96780.94,30515.68,98092.79,111911.4,0.98,1.4,1.05,785066.1
2020-03-21,93409.84,113431.51,125740.43,56472.16,127949.98,0.98,1.4,1.05,759374.13
2020-03-22,110713.38,52873.72,75154.11,102267.29,111861.21,0.99,1.4,1.05,900700.5
2020-03-23,144336.82,66196.98,39445.36,131465.92,90619.68,0.99,1.41,1.05,759344.54
2020-03-24,84451.89,64182.25,104351.91,99123.51,76120.33,0.99,1.42,1.05,867230.56
2020-03-25,75745.19,104288.29,123795.27,123253.45,92530.79,0.99,1.42,1.05,902528.33
2020-03-26,84947.29,151975.45,96338.29,68634.12,109423.88,1.0,1.42,1.05,788926.4
2020-03-27,127462.06,166939.0,86264.55,99212.18,90517.51,1.0,1.43,1.05,818518.2
2020-03-28,109862.53,119141.53,95219.13,81264.69,109430.16,1.0,1.44,1.05,928589.3
2020-03-29,84107.19,115025.33,88882.52,122409.43,113174.5,1.0,1.44,1.05,897728.06
2020-03-30,115398.02,45968.27,59558.59,100944.75,124995.38,1.0,1.44,1.05,843326.03
2020-03-31,102912.33,83719.79,78559.58,120702.21,138483.85,1.0,1.45,1.05,937363.22
2020-04-01,129059.35,76366.49,115638.4,132631.31,102340.22,1.0,1.46,1.05,940590.73
2020-04-02,78938.41,81374.57,109650.36,120748.56,60766.7,1.0,1.46,1.05,896681.98
2020-04-03,90170.14,94955.69,105041.79,108193.55,89646.88,1.0,1.46,1.05,841138.71
2020-04-04,88236.76,85837.28,70145.55,70053.63,101321.88,1.0,1.47,1.05,868342.96
2020-04-05,56094.55,40621.01,94554.91,99916.42,44926.94,1.0,1.48,1.05,906154.35
2020-04-06,108883.61,122437.31,34688.05,84007.29,141659.94,1.0,1.48,1.05,885175.76
2020-04-07,107831.66,67817.71,105354.3,89678.08,104271.34,0.99,1.48,1.05,944273.91
2020-04-08,100153.4,107177.41,142865.73,88763.98,111440.59,0.99,1.49,1.05,823507.79
2020-04-09,92962.39,162222.48,55776.04,70602.23,140965.79,0.99,1.5,1.05,827903.05
2020-04-10,57538.88,72418.46,82422.17,41279.84,81095.72,0.99,1.5,1.05,914228.54
2020-04-11,87380.64,24091.37,109873.2,79955.71,117221.26,0.98,1.5,1.05,883125.51
2020-04-12,89718.56,91419.87,137585.28,105801.38,96704.08,0.98,1.51,1.05,878816.82
2020-04-13,75931.68,133028.79,86553.26,59554.69,94477.39,0.98,1.52,1.05,824180.9
2020-04-14,95161.43,158750.42,79232.49,100470.47,76834.23,0.97,1.52,1.05,915923.65
2020-04-15,112121.53,63113.51,40932.31,157008.05,149968.1,0.97,1.52,1.05,914618.79
2020-04-16,156585.58,114900.98,103103.14,130691.7,88735.0,0.96,1.53,1.05,952188.59
2020-04-17,105237.33,86040.69,161262.28,149306.25,120983.93,0.96,1.54,1.05,925165.23
2020-04-18,107726.51,96821.55,108320.75,111733.84,43749.78,0.95,1.54,1.05,917242.12
2020-04-19,97766.62,179330.3,99331.63,135025.29,135399.66,0.95,1.54,1.05,984822.06
2020-04-20,42436.86,54910.89,109662.47,78281.06,131566.33,0.94,1.55,1.05,862394.89
2020-04-21,99204.58,107612.19,99667.24,80669.79,102923.02,0.94,1.56,1.05,956831.24
2020-04-22,101806.91,114030.8,75609.57,17825.79,93191.73,0.93,1.56,1.05,848394.43
2020-04-23,173897.26,132573.59,124698.4,135584.36,112000.0,0.92,1.56,1.05,891920.82
2020-04-24,94229.17,102939.49,106772.85,146209.72,168663.72,0.92,1.57,1.05,875039.49
2020-04-25,109046.42,109241.52,100528.4,83404.68,47102.9,0.91,1.58,1.05,976549.54
2020-04-26,98958.65,88250.54,70739.02,92381.45,123460.82,0.9,1.58,1.05,935908.71
2020-04-27,64939.66,108073.81,139105.24,77384.14,72651.48,0.9,1.58,1.04,940177.63
2020-04-28,134284.68,89704.23,119941.08,111479.61,99402.45,0.89,1.59,1.04,887136.51
2020-04-29,122557.99,118647.16,83412.37,133747.98,92563.6,0.88,1.6,1.04,929055.58
2020-04-30,123730.96,88911.69,130054.75,47716.84,87150.45,0.87,1.6,1.04,907380.95
2020-05-01,72718.38,111313.01,85072.87,112283.16,99686.05,0.86,1.6,1.04,966188.03
2020-05-02,142083.83,99122.12,76539.9,91699.85,65974.87,0.85,1.61,1.04,898868.98
2020-05-03,57944.47,133781.51,77208.91,103401.83,130875.41,0.85,1.62,1.04,1016268.83
2020-05-04,117605.71,98458.19,46867.94,113769.82,46175.69,0.84,1.62,1.04,867303.1
2020-05-05,165713.67,46809.03,114146.27,94353.93,116192.94,0.83,1.62,1.04,912007.03
2020-05-06,70283.91,137857.65,45065.65,96892.39,90203.92,0.82,1.63,1.04,1037391.79
2020-05-07,83011.07,72828.03,63146.69,93583.74,64872.25,0.81,1.64,1.04,932921.75
2020-05-08,102989.54,80387.01,37732.36,129109.49,106071.5,0.8,1.64,1.04,890030.23
2020-05-09,84895.73,82130.16,97417.91,112562.8,53291.47,0.79,1.64,1.04,967772.02
2020-05-10,53480.1,141233.14,95490.39,106617.51,101191.41,0.77,1.65,1.04,934042.18
2020-05-11,102056.89,35929.77,90199.11,61871.45,57313.69,0.76,1.66,1.04,916960.76
2020-05-12,68130.89,194132.46,68722.67,88642.61,113838.16,0.75,1.66,1.04,904853.43
2020-05-13,114207.77,131681.7,64832.99,126960.07,72269.28,0.74,1.66,1.04,1098908.23
2020-05-14,72417.27,106697.17,113931.1,101130.9,86470.18,0.73,1.67,1.04,948705.08
2020-05-15,146498.03,98353.18,83483.44,119785.94,108818.48,0.72,1.68,1.04,865748.43
2020-05-16,76502.4,108566.62,109490.75,152995.35,76823.74,0.71,1.68,1.04,1037407.73
2020-05-17,90338.15,115633.67,73442.54,131158.18,98261.08,0.69,1.68,1.03,993923.06
2020-05-18,124405.52,119356.47,105431.88,102794.75,54585.08,0.68,1.69,1.03,925645.84
2020-05-19,63074.07,116668.13,139098.34,84670.32,118926.27,0.67,1.7,1.03,917865.62
2020-05-20,106823.8,102687.42,117584.97,23393.51,152947.41,0.66,1.7,1.03,998700.88
2020-05-21,139214.28,94079.85,87627.59,94948.45,183766.27,0.64,1.7,1.03,953141.0
2020-05-22,51775.5,95461.8,107715.97,90219.63,102735.04,0.63,1.71,1.03,869601.93
2020-05-23,105539.02,94152.75,92780.04,111710.99,123646.12,0.62,1.72,1.03,1055631.85
2020-05-24,107796.48,134013.1,100236.41,95382.84,46581.23,0.6,1.72,1.03,944894.87
2020-05-25,123454.69,117806.7,90231.67,90388.45,145082.03,0.59,1.72,1.03,1041653.72
2020-05-26,62891.48,11788.34,95069.94,46618.03,123286.86,0.57,1.73,1.03,1031033.92
2020-05-27,60386.3,119677.02,106362.8,71800.97,85482.0,0.56,1.74,1.03,917256.96
2020-05-28,115658.25,105842.09,70199.24,114299.53,137115.42,0.55,1.74,1.03,1019120.0
2020-05-29,108909.54,99438.74,69523.64,151477.23,92365.72,0.53,1.74,1.03,935000.12
2020-05-30,107514.79,88344.45,58343.72,97074.24,86259.24,0.52,1.75,1.03,874308.36
2020-05-31,110393.45,133723.38,51991.87,109834.33,114260.05,0.5,1.76,1.03,946444.95
2020-06-01,79599.26,128425.79,63481.52,128574.34,68099.37,0.49,1.76,1.02,987548.95
2020-06-02,106967.61,76813.67,104783.88,75673.18,130648.74,0.47,1.76,1.02,944484.11
2020-06-03,108792.17,112211.57,73216.37,111004.42,68320.31,0.46,1.77,1.02,952184.79
2020-06-04,78569.46,70850.3,115408.43,77785.3,68498.36,0.44,1.78,1.02,1024594.81
2020-06-05,155973.24,58611.46,101041.41,125944.73,72709.31,0.43,1.78,1.02,972584.56
2020-06-06,114214.99,81198.48,40944.87,104542.09,122785.0,0.41,1.78,1.02,924902.86
2020-06-07,64260.9,125871.8,119649.27,108953.55,81496.74,0.39,1.79,1.02,1001942.93
2020-06-08,119696.61,128593.75,124323.96,76522.04,59560.13,0.38,1.8,1.02,976465.06
2020-06-09,70759.55,115392.56,70184.12,121210.97,81829.6,0.36,1.8,1.02,840207.97
2020-06-10,123612.54,121752.87,112605.75,162541.39,99038.73,0.35,1.81,1.02,987381.05
2020-06-11,134757.87,115485.35,74305.05,69762.65,64570.83,0.33,1.81,1.02,985198.62
2020-06-12,75379.53,80755.55,102930.11,89807.23,65449.57,0.31,1.82,1.02,966226.84
2020-06-13,128901.28,112957.68,62065.05,106948.22,163338.89,0.3,1.82,1.01,1009390.2
2020-06-14,112383.43,124012.29,46206.81,123592.19,74183.04,0.28,1.83,1.01,930741.21
2020-06-15,124661.8,122628.74,88515.48,83213.61,90308.73,0.26,1.83,1.01,980714.16
2020-06-16,156903.79,135667.4,96288.13,15009.09,88982.89,0.25,1.84,1.01,885042.67
2020-06-17,92638.36,121249.12,88069.61,140775.68,87359.3,0.23,1.84,1.01,983221.02
2020-06-18,77387.92,110543.45,64479.08,122815.18,118640.4,0.21,1.84,1.01,1059970.4
2020-06-19,73314.57,132104.51,88003.03,47711.57,128444.29,0.2,1.85,1.01,912001.67
2020-06-20,75525.69,99204.36,108078.84,81772.94,90821.37,0.18,1.86,1.01,923158.55
2020-06-21,97686.95,73543.76,98653.21,147045.47,62905.65,0.16,1.86,1.01,925030.06
2020-06-22,110234.56,95107.99,105475.03,143433.89,138233.21,0.15,1.86,1.01,966392.0
2020-06-23,108300.72,77652.92,79896.54,128159.2,97139.77,0.13,1.87,1.01,906081.3
2020-06-24,124815.5,79744.65,135151.54,94716.63,151909.65,0.11,1.88,1.01,979617.62
2020-06-25,100390.06,95664.44,64714.8,102489.62,32632.42,0.09,1.88,1.0,1000201.07
2020-06-26,143606.02,76227.4,114626.81,96072.23,105862.1,0.08,1.88,1.0,983863.43
2020-06-27,92060.3,90761.15,135456.73,133847.19,157558.19,0.06,1.89,1.0,867996.11
2020-06-28,181605.07,43191.56,114427.24,73724.73,89402.08,0.04,1.9,1.0,1005430.82
2020-06-29,118770.02,106398.81,93924.27,75826.01,93235.2,0.03,1.9,1.0,1001782.47
2020-06-30,74285.27,100036.16,84151.09,130308.24,108865.35,0.01,1.9,1.0,995650.63
2020-07-01,67873.23,75487.34,131082.63,98669.16,83236.13,-0.01,1.91,1.0,972001.08
2020-07-02,114474.17,119777.37,57310.75,141354.02,90637.84,-0.03,1.92,1.0,963573.88
2020-07-03,93296.12,128127.1,70896.27,79854.63,89865.55,-0.04,1.92,1.0,1003379.2
2020-07-04,121420.01,51773.2,88073.27,98356.65,81177.38,-0.06,1.92,1.0,1047121.67
2020-07-05,114197.13,77118.26,137129.61,72327.61,136865.7,-0.08,1.93,1.0,902472.44
2020-07-06,97815.13,76925.73,111393.03,100220.88,113832.34,-0.09,1.94,1.0,1003202.12
2020-07-07,74596.19,71802.91,70958.63,55643.59,107518.85,-0.11,1.94,0.99,944150.32
2020-07-08,54554.58,124884.25,90690.77,85371.0,124257.13,-0.13,1.94,0.99,941138.25
2020-07-09,86604.55,94185.22,81570.31,56912.38,92069.33,-0.15,1.95,0.99,869952.05
2020-07-10,125691.96,92064.55,78706.33,120817.7,76773.89,-0.16,1.96,0.99,931693.11
2020-07-11,106422.81,39884.13,129366.69,121497.68,81921.27,-0.18,1.96,0.99,895221.37
2020-07-12,62627.84,119062.54,58847.71,48092.12,100053.49,-0.2,1.96,0.99,921043.22
2020-07-13,105195.43,62822.25,148263.43,140016.57,68223.65,-0.21,1.97,0.99,888478.38
2020-07-14,111559.52,101797.98,124846.89,174922.45,84992.17,-0.23,1.98,0.99,920095.31
2020-07-15,73484.28,108321.31,132725.85,101380.19,84516.5,-0.25,1.98,0.99,921390.45
2020-07-16,104611.75,140819.76,86111.81,80766.57,163736.69,-0.26,1.98,0.99,945692.45
2020-07-17,101746.26,60735.39,95501.78,184729.92,16785.55,-0.28,1.99,0.99,859280.11
2020-07-18,65710.89,9414.64,57005.45,60430.95,94611.41,-0.3,2.0,0.99,866909.85
2020-07-19,110733.62,105515.49,84260.13,100603.19,151770.81,-0.31,2.0,0.98,956456.94
2020-07-20,116823.54,154015.34,114809.65,105388.67,103655.33,-0.33,2.0,0.98,897671.88
2020-07-21,132491.54,137168.39,138881.89,140354.43,122602.52,-0.35,2.01,0.98,990461.28
2020-07-22,131614.06,106289.78,66785.3,110792.17,102994.79,-0.36,2.02,0.98,947198.61
2020-07-23,58669.92,85250.91,89034.82,85040.98,79980.0,-0.38,2.02,0.98,965484.15
2020-07-24,71865.25,124213.68,95461.02,71464.47,32742.52,-0.39,2.02,0.98,1004903.26
2020-07-25,115451.06,70793.61,58126.32,89745.35,106163.67,-0.41,2.03,0.98,918118.22
2020-07-26,115413.58,114290.73,117740.48,69792.18,76731.8,-0.43,2.04,0.98,904128.24
2020-07-27,115451.43,115164.1,78280.29,101434.76,75989.94,-0.44,2.04,0.98,975700.93
2020-07-28,215581.94,131806.3,94138.29,83074.11,85030.38,-0.46,2.04,0.98,956870.38
2020-07-29,117126.72,182789.8,86441.52,55178.87,152345.84,-0.47,2.05,0.98,921323.53
2020-07-30,134066.97,111772.48,76319.84,137654.37,172145.13,-0.49,2.05,0.98,999575.83
2020-07-31,128620.05,84731.09,99788.65,85069.82,106516.24,-0.5,2.06,0.97,918722.03
2020-08-01,119541.74,99232.77,93531.71,61955.9,86056.98,-0.52,2.06,0.97,930323.79
2020-08-02,90541.92,46927.72,88844.26,94952.23,64683.21,-0.53,2.07,0.97,929117.44
2020-08-03,122769.08,79158.61,78146.15,102051.15,114056.2,-0.55,2.08,0.97,880719.49
2020-08-04,76815.24,87721.53,109585.74,47606.0,153487.17,-0.56,2.08,0.97,930743.55
2020-08-05,92895.44,84277.35,149608.52,109949.43,92579.79,-0.57,2.08,0.97,996140.83
2020-08-06,85439.09,104570.65,104196.62,68585.27,28630.12,-0.59,2.09,0.97,948013.86
2020-08-07,102456.22,75327.4,129883.55,151330.86,120101.49,-0.6,2.09,0.97,926806.65
2020-08-08,169439.76,133630.92,58293.34,115718.82,129561.99,-0.62,2.1,0.97,916679.22
2020-08-09,43982.04,100006.21,104732.84,88003.0,52424.63,-0.63,2.1,0.97,940851.9
2020-08-10,120587.81,99720.99,67078.95,77644.97,105294.53,-0.64,2.11,0.97,961366.08
2020-08-11,51618.52,90163.16,55692.25,96850.97,113536.78,-0.66,2.12,0.97,953937.6
2020-08-12,85842.04,104655.72,77818.86,118383.72,97806.78,-0.67,2.12,0.97,906510.33
2020-08-13,132668.52,124752.95,135756.98,99235.18,76276.87,-0.68,2.12,0.97,939001.26
2020-08-14,101928.4,73986.09,128500.47,93485.24,130478.12,-0.69,2.13,0.97,946449.14
2020-08-15,67667.66,80256.51,107290.14,101751.11,87898.61,-0.71,2.13,0.96,871814.86
2020-08-16,78540.89,90888.22,54018.98,81884.23,55444.42,-0.72,2.14,0.96,930341.92
2020-08-17,120387.93,59623.87,94111.58,89703.82,38515.77,-0.73,2.14,0.96,813655.29
2020-08-18,78089.0,75422.26,109051.0,37426.23,137825.49,-0.74,2.15,0.96,945672.27
2020-08-19,106493.76,85713.37,105266.09,129211.79,118499.92,-0.75,2.16,0.96,954423.85
2020-08-20,101367.16,126231.68,44686.19,108963.93,102639.21,-0.76,2.16,0.96,958681.65
2020-08-21,80451.99,107876.84,73290.46,76796.32,86791.76,-0.77,2.16,0.96,901487.26
2020-08-22,164318.32,105807.7,98077.67,156962.05,84130.05,-0.79,2.17,0.96,936665.77
2020-08-23,119017.57,125526.94,116088.73,102610.49,67727.9,-0.8,2.17,0.96,992423.97
2020-08-24,39245.72,95878.85,34116.17,68915.69,87056.33,-0.81,2.18,0.96,991967.33
2020-08-25,105593.63,111713.95,95136.28,125702.12,36397.38,-0.82,2.18,0.96,919914.12
2020-08-26,80146.41,96903.35,104291.46,111941.45,77918.09,-0.83,2.19,0.96,928473.98
2020-08-27,125573.0,107960.87,125488.36,111837.4,90671.87,-0.84,2.2,0.96,977231.25
2020-08-28,76224.38,82517.24,120785.73,87227.33,118296.4,-0.85,2.2,0.96,846866.23
2020-08-29,96557.91,26835.49,117477.14,113514.87,98802.21,-0.85,2.2,0.96,906017.04
2020-08-30,115149.62,95971.63,76001.78,92147.25,123847.69,-0.86,2.21,0.96,989258.77
2020-08-31,125972.66,142682.44,42759.94,116678.24,140474.05,-0.87,2.22,0.96,971594.92
2020-09-01,63991.11,127786.46,88208.42,42851.67,131745.1,-0.88,2.22,0.96,941698.75
2020-09-02,89964.96,128961.92,130048.95,86983.8,114115.3,-0.89,2.22,0.96,848391.63
2020-09-03,85751.64,137083.92,141803.64,151664.65,100355.88,-0.9,2.23,0.96,921682.88
2020-09-04,80400.12,102659.73,121316.47,76987.98,70576.36,-0.9,2.24,0.95,895225.82
2020-09-05,152963.63,105919.47,112880.22,81884.85,122198.32,-0.91,2.24,0.95,941865.88
2020-09-06,112149.45,81470.44,111389.19,86561.16,150392.42,-0.92,2.24,0.95,885488.4
2020-09-07,62173.48,90517.81,83316.44,63555.82,110263.18,-0.92,2.25,0.95,875361.59
2020-09-08,127535.86,118473.13,96098.19,33751.58,157517.77,-0.93,2.26,0.95,824147.68
2020-09-09,163664.69,136116.53,150072.09,93082.41,54232.85,-0.94,2.26,0.95,989275.96
2020-09-10,130973.96,95816.61,71723.26,104075.78,65375.1,-0.94,2.26,0.95,909043.95
2020-09-11,54418.9,86494.32,148443.36,98424.85,125656.05,-0.95,2.27,0.95,937789.51
2020-09-12,85472.98,100015.84,90339.16,95653.64,107928.71,-0.95,2.28,0.95,930773.54
2020-09-13,138007.33,118036.2,139762.96,101291.23,139413.47,-0.96,2.28,0.95,878521.21
2020-09-14,78769.92,56684.36,57795.55,130685.24,99535.85,-0.96,2.28,0.95,870001.39
2020-09-15,113314.58,31114.57,117577.13,94286.61,73960.74,-0.97,2.29,0.95,883806.14
2020-09-16,123239.02,83483.89,77896.9,82777.52,93592.2,-0.97,2.3,0.95,899086.7
2020-09-17,72192.09,63378.63,57541.98,91566.24,54019.48,-0.98,2.3,0.95,954804.81
2020-09-18,98214.24,84755.79,106556.02,117380.4,66142.28,-0.98,2.3,0.95,897975.28
2020-09-19,2761.98,95566.59,130284.15,142360.81,129173.32,-0.98,2.31,0.95,1026429.47
2020-09-20,69268.37,86402.55,74651.76,81155.69,126183.62,-0.99,2.32,0.95,991864.71
2020-09-21,92422.96,143574.03,55029.52,102968.01,110890.13,-0.99,2.32,0.95,982385.83
2020-09-22,62566.5,109802.34,97244.66,110150.72,48367.67,-0.99,2.33,0.95,937504.55
2020-09-23,148972.34,109014.23,97376.94,70222.66,89247.89,-0.99,2.33,0.95,1020780.9
2020-09-24,57095.76,118666.21,116449.59,100612.52,63250.0,-1.0,2.34,0.95,935805.85
2020-09-25,86798.67,65835.01,128487.84,56029.78,135296.0,-1.0,2.34,0.95,946842.89
2020-09-26,103922.22,131173.35,98217.54,46928.49,82488.34,-1.0,2.34,0.95,958665.6
2020-09-27,143238.2,97727.07,155665.1,111002.39,67427.57,-1.0,2.35,0.95,987080.45
2020-09-28,56924.14,120114.42,106727.04,88483.76,100893.88,-1.0,2.36,0.95,985718.8
2020-09-29,134894.91,67844.28,89607.2,106068.41,80795.37,-1.0,2.36,0.95,932063.65
2020-09-30,100306.99,53387.24,51652.98,99463.15,144512.32,-1.0,2.37,0.95,931179.4
2020-10-01,70554.74,124536.69,92120.21,70708.0,77955.67,-1.0,2.37,0.95,991896.74
2020-10-02,113863.1,111292.29,89908.39,98642.37,58023.15,-1.0,2.38,0.95,997799.39
2020-10-03,105971.79,72938.45,128809.14,63006.96,35412.59,-1.0,2.38,0.95,944569.78
2020-10-04,81993.49,73910.11,113874.51,141729.17,99076.4,-1.0,2.38,0.95,887142.12
2020-10-05,102094.06,133763.04,64618.93,59320.89,83142.1,-1.0,2.39,0.95,958464.43
2020-10-06,88440.59,64317.64,105167.63,94126.44,57132.86,-0.99,2.4,0.95,1002400.18
2020-10-07,103405.52,149280.19,120145.94,68731.85,135676.79,-0.99,2.4,0.95,1063953.91
